grid_id,cell_code,observation_date,observation_period,latitude,longitude,nighttime_radiance_mean,nighttime_radiance_median,nighttime_radiance_max,nighttime_radiance_min,nighttime_radiance_std,units,valid_pixel_count,native_spatial_resolution,spatial_resolution,source_dataset,source_product,provenance_type
10,CHE_G010,2022-04-01,2022-04-01/2022-04-30,13.025,80.225,33.1776,31.49,62.42,15.45,8.4038,nW/cm2/sr,144,15 arc-seconds (~500m),0.05 deg analytical grid,VIIRS DNB Monthly Cloud-Free Composite v10_ops (NOAA/EOG/World Bank),DNB_npp_20220401-20220430_global_ecm-slcorr_v10_ops,CALCULATED
11,CHE_G011,2022-04-01,2022-04-01/2022-04-30,13.025,80.275,20.2429,23.115,54.01,3.48,11.5644,nW/cm2/sr,144,15 arc-seconds (~500m),0.05 deg analytical grid,VIIRS DNB Monthly Cloud-Free Composite v10_ops (NOAA/EOG/World Bank),DNB_npp_20220401-20220430_global_ecm-slcorr_v10_ops,CALCULATED
12,CHE_G012,2022-04-01,2022-04-01/2022-04-30,13.025,80.325,2.984,2.745,6.16,1.74,0.9661,nW/cm2/sr,144,15 arc-seconds (~500m),0.05 deg analytical grid,VIIRS DNB Monthly Cloud-Free Composite v10_ops (NOAA/EOG/World Bank),DNB_npp_20220401-20220430_global_ecm-slcorr_v10_ops,CALCULATED
13,CHE_G013,2022-04-01,2022-04-01/2022-04-30,13.075,80.175,34.5814,32.9,77.33,17.91,9.0028,nW/cm2/sr,144,15 arc-seconds (~500m),0.05 deg analytical grid,VIIRS DNB Monthly Cloud-Free Composite v10_ops (NOAA/EOG/World Bank),DNB_npp_20220401-20220430_global_ecm-slcorr_v10_ops,CALCULATED
14,CHE_G014,2022-04-01,2022-04-01/2022-04-30,13.075,80.225,32.4815,30.865,67.18,21.21,8.7587,nW/cm2/sr,144,15 arc-seconds (~500m),0.05 deg analytical grid,VIIRS DNB Monthly Cloud-Free Composite v10_ops (NOAA/EOG/World Bank),DNB_npp_20220401-20220430_global_ecm-slcorr_v10_ops,CALCULATED
15,CHE_G015,2022-04-01,2022-04-01/2022-04-30,13.075,80.275,36.5539,36.7,63.58,7.82,9.5865,nW/cm2/sr,144,15 arc-seconds (~500m),0.05 deg analytical grid,VIIRS DNB Monthly Cloud-Free Composite v10_ops (NOAA/EOG/World Bank),DNB_npp_20220401-20220430_global_ecm-slcorr_v10_ops,CALCULATED
16,CHE_G016,2022-04-01,2022-04-01/2022-04-30,13.075,80.325,6.8094,4.305,45.93,2.28,7.9455,nW/cm2/sr,144,15 arc-seconds (~500m),0.05 deg analytical grid,VIIRS DNB Monthly Cloud-Free Composite v10_ops (NOAA/EOG/World Bank),DNB_npp_20220401-20220430_global_ecm-slcorr_v10_ops,CALCULATED
1,CHE_G001,2023-04-01,2023-04-01/2023-04-30,12.925,80.175,21.9044,21.81,36.92,9.2,5.2345,nW/cm2/sr,144,15 arc-seconds (~500m),0.05 deg analytical grid,VIIRS DNB Monthly Cloud-Free Composite v10_ops (NOAA/EOG/World Bank),DNB_npp_20230401-20230430_global_ecm-slcorr_v10_ops,CALCULATED
2,CHE_G002,2023-04-01,2023-04-01/2023-04-30,12.925,80.225,29.2153,26.42,64.17,11.53,11.9138,nW/cm2/sr,144,15 arc-seconds (~500m),0.05 deg analytical grid,VIIRS DNB Monthly Cloud-Free Composite v10_ops (NOAA/EOG/World Bank),DNB_npp_20230401-20230430_global_ecm-slcorr_v10_ops,CALCULATED
3,CHE_G003,2023-04-01,2023-04-01/2023-04-30,12.925,80.275,8.0196,4.115,32.33,2.13,7.8394,nW/cm2/sr,144,15 arc-seconds (~500m),0.05 deg analytical grid,VIIRS DNB Monthly Cloud-Free Composite v10_ops (NOAA/EOG/World Bank),DNB_npp_20230401-20230430_global_ecm-slcorr_v10_ops,CALCULATED
4,CHE_G004,2023-04-01,2023-04-01/2023-04-30,12.925,80.325,1.6018,1.51,2.55,1.11,0.3536,nW/cm2/sr,144,15 arc-seconds (~500m),0.05 deg analytical grid,VIIRS DNB Monthly Cloud-Free Composite v10_ops (NOAA/EOG/World Bank),DNB_npp_20230401-20230430_global_ecm-slcorr_v10_ops,CALCULATED
5,CHE_G005,2023-04-01,2023-04-01/2023-04-30,12.975,80.175,30.6399,28.695,108.97,13.21,13.7618,nW/cm2/sr,144,15 arc-seconds (~500m),0.05 deg analytical grid,VIIRS DNB Monthly Cloud-Free Composite v10_ops (NOAA/EOG/World Bank),DNB_npp_20230401-20230430_global_ecm-slcorr_v10_ops,CALCULATED
6,CHE_G006,2023-04-01,2023-04-01/2023-04-30,12.975,80.225,29.3421,29.055,104.33,10.47,11.8372,nW/cm2/sr,144,15 arc-seconds (~500m),0.05 deg analytical grid,VIIRS DNB Monthly Cloud-Free Composite v10_ops (NOAA/EOG/World Bank),DNB_npp_20230401-20230430_global_ecm-slcorr_v10_ops,CALCULATED
7,CHE_G007,2023-04-01,2023-04-01/2023-04-30,12.975,80.275,15.7419,7.4,64.29,2.88,14.1306,nW/cm2/sr,144,15 arc-seconds (~500m),0.05 deg analytical grid,VIIRS DNB Monthly Cloud-Free Composite v10_ops (NOAA/EOG/World Bank),DNB_npp_20230401-20230430_global_ecm-slcorr_v10_ops,CALCULATED
8,CHE_G008,2023-04-01,2023-04-01/2023-04-30,12.975,80.325,2.0302,1.925,3.34,1.31,0.468,nW/cm2/sr,144,15 arc-seconds (~500m),0.05 deg analytical grid,VIIRS DNB Monthly Cloud-Free Composite v10_ops (NOAA/EOG/World Bank),DNB_npp_20230401-20230430_global_ecm-slcorr_v10_ops,CALCULATED
9,CHE_G009,2023-04-01,2023-04-01/2023-04-30,13.025,80.175,38.6087,36.32,103.45,16.0,13.7327,nW/cm2/sr,144,15 arc-seconds (~500m),0.05 deg analytical grid,VIIRS DNB Monthly Cloud-Free Composite v10_ops (NOAA/EOG/World Bank),DNB_npp_20230401-20230430_global_ecm-slcorr_v10_ops,CALCULATED
10,CHE_G010,2023-04-01,2023-04-01/2023-04-30,13.025,80.225,35.3385,34.735,65.17,13.73,9.0605,nW/cm2/sr,144,15 arc-seconds (~500m),0.05 deg analytical grid,VIIRS DNB Monthly Cloud-Free Composite v10_ops (NOAA/EOG/World Bank),DNB_npp_20230401-20230430_global_ecm-slcorr_v10_ops,CALCULATED
11,CHE_G011,2023-04-01,2023-04-01/2023-04-30,13.025,80.275,22.4742,24.615,70.81,3.69,13.6755,nW/cm2/sr,144,15 arc-seconds (~500m),0.05 deg analytical grid,VIIRS DNB Monthly Cloud-Free Composite v10_ops (NOAA/EOG/World Bank),DNB_npp_20230401-20230430_global_ecm-slcorr_v10_ops,CALCULATED
12,CHE_G012,2023-04-01,2023-04-01/2023-04-30,13.025,80.325,2.9588,2.69,6.31,1.49,1.0422,nW/cm2/sr,144,15 arc-seconds (~500m),0.05 deg analytical grid,VIIRS DNB Monthly Cloud-Free Composite v10_ops (NOAA/EOG/World Bank),DNB_npp_20230401-20230430_global_ecm-slcorr_v10_ops,CALCULATED
13,CHE_G013,2023-04-01,2023-04-01/2023-04-30,13.075,80.175,36.5959,34.78,68.55,20.65,8.3719,nW/cm2/sr,144,15 arc-seconds (~500m),0.05 deg analytical grid,VIIRS DNB Monthly Cloud-Free Composite v10_ops (NOAA/EOG/World Bank),DNB_npp_20230401-20230430_global_ecm-slcorr_v10_ops,CALCULATED
14,CHE_G014,2023-04-01,2023-04-01/2023-04-30,13.075,80.225,33.3219,32.265,69.08,22.73,7.6315,nW/cm2/sr,144,15 arc-seconds (~500m),0.05 deg analytical grid,VIIRS DNB Monthly Cloud-Free Composite v10_ops (NOAA/EOG/World Bank),DNB_npp_20230401-20230430_global_ecm-slcorr_v10_ops,CALCULATED
15,CHE_G015,2023-04-01,2023-04-01/2023-04-30,13.075,80.275,39.0609,39.895,65.27,7.92,10.3686,nW/cm2/sr,144,15 arc-seconds (~500m),0.05 deg analytical grid,VIIRS DNB Monthly Cloud-Free Composite v10_ops (NOAA/EOG/World Bank),DNB_npp_20230401-20230430_global_ecm-slcorr_v10_ops,CALCULATED
16,CHE_G016,2023-04-01,2023-04-01/2023-04-30,13.075,80.325,6.7655,4.49,45.5,2.32,7.3965,nW/cm2/sr,144,15 arc-seconds (~500m),0.05 deg analytical grid,VIIRS DNB Monthly Cloud-Free Composite v10_ops (NOAA/EOG/World Bank),DNB_npp_20230401-20230430_global_ecm-slcorr_v10_ops,CALCULATED
1,CHE_G001,2024-04-01,2024-04-01/2024-04-30,12.925,80.175,26.7635,26.93,45.53,9.34,7.8406,nW/cm2/sr,144,15 arc-seconds (~500m),0.05 deg analytical grid,VIIRS DNB Monthly Cloud-Free Composite v10_ops (NOAA/EOG/World Bank),DNB_npp_20240401-20240430_global_ecm-slcorr_v10_ops,CALCULATED
2,CHE_G002,2024-04-01,2024-04-01/2024-04-30,12.925,80.225,28.7664,27.415,65.89,9.05,12.0429,nW/cm2/sr,144,15 arc-seconds (~500m),0.05 deg analytical grid,VIIRS DNB Monthly Cloud-Free Composite v10_ops (NOAA/EOG/World Bank),DNB_npp_20240401-20240430_global_ecm-slcorr_v10_ops,CALCULATED
