date,acquisition_timestamp,latitude,longitude,temperature_2m_c,precipitation_mm_day,unit_temperature,unit_precipitation,source_name,source_url,provenance_type
2021-02-24,2021-02-24T00:00:00Z,13.0827,80.2707,25.0,0.0,C,mm/day,NASA POWER (MERRA-2),"https://power.larc.nasa.gov/api/temporal/daily/point?parameters=T2M,PRECTOTCORR&community=RE&longitude=80.2707&latitude=13.0827&start=20210101&end=20241231&format=JSON",OBSERVED
2021-02-25,2021-02-25T00:00:00Z,13.0827,80.2707,25.21,0.0,C,mm/day,NASA POWER (MERRA-2),"https://power.larc.nasa.gov/api/temporal/daily/point?parameters=T2M,PRECTOTCORR&community=RE&longitude=80.2707&latitude=13.0827&start=20210101&end=20241231&format=JSON",OBSERVED
2021-02-26,2021-02-26T00:00:00Z,13.0827,80.2707,25.26,0.0,C,mm/day,NASA POWER (MERRA-2),"https://power.larc.nasa.gov/api/temporal/daily/point?parameters=T2M,PRECTOTCORR&community=RE&longitude=80.2707&latitude=13.0827&start=20210101&end=20241231&format=JSON",OBSERVED
2021-02-27,2021-02-27T00:00:00Z,13.0827,80.2707,25.35,0.0,C,mm/day,NASA POWER (MERRA-2),"https://power.larc.nasa.gov/api/temporal/daily/point?parameters=T2M,PRECTOTCORR&community=RE&longitude=80.2707&latitude=13.0827&start=20210101&end=20241231&format=JSON",OBSERVED
2021-02-28,2021-02-28T00:00:00Z,13.0827,80.2707,25.31,0.0,C,mm/day,NASA POWER (MERRA-2),"https://power.larc.nasa.gov/api/temporal/daily/point?parameters=T2M,PRECTOTCORR&community=RE&longitude=80.2707&latitude=13.0827&start=20210101&end=20241231&format=JSON",OBSERVED
2021-03-01,2021-03-01T00:00:00Z,13.0827,80.2707,26.05,0.0,C,mm/day,NASA POWER (MERRA-2),"https://power.larc.nasa.gov/api/temporal/daily/point?parameters=T2M,PRECTOTCORR&community=RE&longitude=80.2707&latitude=13.0827&start=20210101&end=20241231&format=JSON",OBSERVED
2021-03-02,2021-03-02T00:00:00Z,13.0827,80.2707,25.73,0.0,C,mm/day,NASA POWER (MERRA-2),"https://power.larc.nasa.gov/api/temporal/daily/point?parameters=T2M,PRECTOTCORR&community=RE&longitude=80.2707&latitude=13.0827&start=20210101&end=20241231&format=JSON",OBSERVED
2021-03-03,2021-03-03T00:00:00Z,13.0827,80.2707,25.52,0.0,C,mm/day,NASA POWER (MERRA-2),"https://power.larc.nasa.gov/api/temporal/daily/point?parameters=T2M,PRECTOTCORR&community=RE&longitude=80.2707&latitude=13.0827&start=20210101&end=20241231&format=JSON",OBSERVED
2021-03-04,2021-03-04T00:00:00Z,13.0827,80.2707,25.64,0.0,C,mm/day,NASA POWER (MERRA-2),"https://power.larc.nasa.gov/api/temporal/daily/point?parameters=T2M,PRECTOTCORR&community=RE&longitude=80.2707&latitude=13.0827&start=20210101&end=20241231&format=JSON",OBSERVED
2021-03-05,2021-03-05T00:00:00Z,13.0827,80.2707,25.56,0.0,C,mm/day,NASA POWER (MERRA-2),"https://power.larc.nasa.gov/api/temporal/daily/point?parameters=T2M,PRECTOTCORR&community=RE&longitude=80.2707&latitude=13.0827&start=20210101&end=20241231&format=JSON",OBSERVED
2021-03-06,2021-03-06T00:00:00Z,13.0827,80.2707,26.38,0.0,C,mm/day,NASA POWER (MERRA-2),"https://power.larc.nasa.gov/api/temporal/daily/point?parameters=T2M,PRECTOTCORR&community=RE&longitude=80.2707&latitude=13.0827&start=20210101&end=20241231&format=JSON",OBSERVED
2021-03-07,2021-03-07T00:00:00Z,13.0827,80.2707,26.48,0.0,C,mm/day,NASA POWER (MERRA-2),"https://power.larc.nasa.gov/api/temporal/daily/point?parameters=T2M,PRECTOTCORR&community=RE&longitude=80.2707&latitude=13.0827&start=20210101&end=20241231&format=JSON",OBSERVED
2021-03-08,2021-03-08T00:00:00Z,13.0827,80.2707,26.69,0.0,C,mm/day,NASA POWER (MERRA-2),"https://power.larc.nasa.gov/api/temporal/daily/point?parameters=T2M,PRECTOTCORR&community=RE&longitude=80.2707&latitude=13.0827&start=20210101&end=20241231&format=JSON",OBSERVED
2021-03-09,2021-03-09T00:00:00Z,13.0827,80.2707,26.8,0.01,C,mm/day,NASA POWER (MERRA-2),"https://power.larc.nasa.gov/api/temporal/daily/point?parameters=T2M,PRECTOTCORR&community=RE&longitude=80.2707&latitude=13.0827&start=20210101&end=20241231&format=JSON",OBSERVED
2021-03-10,2021-03-10T00:00:00Z,13.0827,80.2707,27.19,0.0,C,mm/day,NASA POWER (MERRA-2),"https://power.larc.nasa.gov/api/temporal/daily/point?parameters=T2M,PRECTOTCORR&community=RE&longitude=80.2707&latitude=13.0827&start=20210101&end=20241231&format=JSON",OBSERVED
2021-03-11,2021-03-11T00:00:00Z,13.0827,80.2707,27.25,0.0,C,mm/day,NASA POWER (MERRA-2),"https://power.larc.nasa.gov/api/temporal/daily/point?parameters=T2M,PRECTOTCORR&community=RE&longitude=80.2707&latitude=13.0827&start=20210101&end=20241231&format=JSON",OBSERVED
2021-03-12,2021-03-12T00:00:00Z,13.0827,80.2707,26.05,0.0,C,mm/day,NASA POWER (MERRA-2),"https://power.larc.nasa.gov/api/temporal/daily/point?parameters=T2M,PRECTOTCORR&community=RE&longitude=80.2707&latitude=13.0827&start=20210101&end=20241231&format=JSON",OBSERVED
2021-03-13,2021-03-13T00:00:00Z,13.0827,80.2707,26.75,0.0,C,mm/day,NASA POWER (MERRA-2),"https://power.larc.nasa.gov/api/temporal/daily/point?parameters=T2M,PRECTOTCORR&community=RE&longitude=80.2707&latitude=13.0827&start=20210101&end=20241231&format=JSON",OBSERVED
2021-03-14,2021-03-14T00:00:00Z,13.0827,80.2707,27.07,0.0,C,mm/day,NASA POWER (MERRA-2),"https://power.larc.nasa.gov/api/temporal/daily/point?parameters=T2M,PRECTOTCORR&community=RE&longitude=80.2707&latitude=13.0827&start=20210101&end=20241231&format=JSON",OBSERVED
2021-03-15,2021-03-15T00:00:00Z,13.0827,80.2707,27.6,0.0,C,mm/day,NASA POWER (MERRA-2),"https://power.larc.nasa.gov/api/temporal/daily/point?parameters=T2M,PRECTOTCORR&community=RE&longitude=80.2707&latitude=13.0827&start=20210101&end=20241231&format=JSON",OBSERVED
2021-03-16,2021-03-16T00:00:00Z,13.0827,80.2707,27.36,0.0,C,mm/day,NASA POWER (MERRA-2),"https://power.larc.nasa.gov/api/temporal/daily/point?parameters=T2M,PRECTOTCORR&community=RE&longitude=80.2707&latitude=13.0827&start=20210101&end=20241231&format=JSON",OBSERVED
2021-03-17,2021-03-17T00:00:00Z,13.0827,80.2707,27.66,0.0,C,mm/day,NASA POWER (MERRA-2),"https://power.larc.nasa.gov/api/temporal/daily/point?parameters=T2M,PRECTOTCORR&community=RE&longitude=80.2707&latitude=13.0827&start=20210101&end=20241231&format=JSON",OBSERVED
2021-03-18,2021-03-18T00:00:00Z,13.0827,80.2707,27.14,0.0,C,mm/day,NASA POWER (MERRA-2),"https://power.larc.nasa.gov/api/temporal/daily/point?parameters=T2M,PRECTOTCORR&community=RE&longitude=80.2707&latitude=13.0827&start=20210101&end=20241231&format=JSON",OBSERVED
2021-03-19,2021-03-19T00:00:00Z,13.0827,80.2707,27.39,0.0,C,mm/day,NASA POWER (MERRA-2),"https://power.larc.nasa.gov/api/temporal/daily/point?parameters=T2M,PRECTOTCORR&community=RE&longitude=80.2707&latitude=13.0827&start=20210101&end=20241231&format=JSON",OBSERVED
2021-03-20,2021-03-20T00:00:00Z,13.0827,80.2707,27.23,0.0,C,mm/day,NASA POWER (MERRA-2),"https://power.larc.nasa.gov/api/temporal/daily/point?parameters=T2M,PRECTOTCORR&community=RE&longitude=80.2707&latitude=13.0827&start=20210101&end=20241231&format=JSON",OBSERVED
2021-03-21,2021-03-21T00:00:00Z,13.0827,80.2707,27.81,0.0,C,mm/day,NASA POWER (MERRA-2),"https://power.larc.nasa.gov/api/temporal/daily/point?parameters=T2M,PRECTOTCORR&community=RE&longitude=80.2707&latitude=13.0827&start=20210101&end=20241231&format=JSON",OBSERVED
2021-03-22,2021-03-22T00:00:00Z,13.0827,80.2707,28.18,0.0,C,mm/day,NASA POWER (MERRA-2),"https://power.larc.nasa.gov/api/temporal/daily/point?parameters=T2M,PRECTOTCORR&community=RE&longitude=80.2707&latitude=13.0827&start=20210101&end=20241231&format=JSON",OBSERVED
2021-03-23,2021-03-23T00:00:00Z,13.0827,80.2707,28.05,0.0,C,mm/day,NASA POWER (MERRA-2),"https://power.larc.nasa.gov/api/temporal/daily/point?parameters=T2M,PRECTOTCORR&community=RE&longitude=80.2707&latitude=13.0827&start=20210101&end=20241231&format=JSON",OBSERVED
2021-03-24,2021-03-24T00:00:00Z,13.0827,80.2707,28.32,0.0,C,mm/day,NASA POWER (MERRA-2),"https://power.larc.nasa.gov/api/temporal/daily/point?parameters=T2M,PRECTOTCORR&community=RE&longitude=80.2707&latitude=13.0827&start=20210101&end=20241231&format=JSON",OBSERVED
2021-03-25,2021-03-25T00:00:00Z,13.0827,80.2707,28.49,0.0,C,mm/day,NASA POWER (MERRA-2),"https://power.larc.nasa.gov/api/temporal/daily/point?parameters=T2M,PRECTOTCORR&community=RE&longitude=80.2707&latitude=13.0827&start=20210101&end=20241231&format=JSON",OBSERVED
2021-03-26,2021-03-26T00:00:00Z,13.0827,80.2707,28.34,0.0,C,mm/day,NASA POWER (MERRA-2),"https://power.larc.nasa.gov/api/temporal/daily/point?parameters=T2M,PRECTOTCORR&community=RE&longitude=80.2707&latitude=13.0827&start=20210101&end=20241231&format=JSON",OBSERVED
2021-03-27,2021-03-27T00:00:00Z,13.0827,80.2707,29.16,0.0,C,mm/day,NASA POWER (MERRA-2),"https://power.larc.nasa.gov/api/temporal/daily/point?parameters=T2M,PRECTOTCORR&community=RE&longitude=80.2707&latitude=13.0827&start=20210101&end=20241231&format=JSON",OBSERVED
2021-03-28,2021-03-28T00:00:00Z,13.0827,80.2707,29.4,0.01,C,mm/day,NASA POWER (MERRA-2),"https://power.larc.nasa.gov/api/temporal/daily/point?parameters=T2M,PRECTOTCORR&community=RE&longitude=80.2707&latitude=13.0827&start=20210101&end=20241231&format=JSON",OBSERVED
2021-03-29,2021-03-29T00:00:00Z,13.0827,80.2707,29.75,0.0,C,mm/day,NASA POWER (MERRA-2),"https://power.larc.nasa.gov/api/temporal/daily/point?parameters=T2M,PRECTOTCORR&community=RE&longitude=80.2707&latitude=13.0827&start=20210101&end=20241231&format=JSON",OBSERVED
